location,mobility_before_distancing,mobility_after_distancing,general_reduction,median_reduction,median_seasonal_reduction,num_users,num_records
New York City,85.86258677787939,36.602651613853276,57.37%,93.22%,88.52%,165819,23217698
Los Angeles,103.04634652089494,49.85346267589658,51.62%,89.91%,85.62%,126006,19125661
Chicago,63.60075600685338,25.67697622176766,59.63%,92.44%,87.04%,61796,9336518
Houston,53.92368046365394,29.429434190409786,45.42%,80.18%,78.05%,72675,13388696
Phoenix,60.49616387352101,24.3870285908846,59.69%,85.79%,84.45%,22844,3439099
Philadelphia,55.11175671363621,27.266237326523804,50.53%,86.47%,83.86%,33395,6284287
San Antonio,45.32682104284298,23.835037664964787,47.42%,83.48%,81.40%,33410,5164184
San Diego,79.23303304826308,35.51839948449995,55.17%,91.73%,88.68%,30937,3827458
Dallas,64.11793169998849,31.28464326442868,51.21%,82.64%,78.39%,29335,5201249
San Jose,59.9008533828598,20.916035538151746,65.08%,92.74%,91.39%,13707,1855956
Austin,72.64804542109061,31.834385839834958,56.18%,88.75%,85.24%,29614,4129754
Jacksonville,47.92914060151883,33.714746767158175,29.66%,54.30%,58.52%,659,72844
Fort Worth,51.716807475859405,28.78565047114328,44.34%,76.41%,71.01%,14331,2080970
Columbus,44.67581847692692,21.465267661008227,51.95%,82.74%,81.04%,20235,3370731
San Francisco,113.39209462530879,40.697788794935526,64.11%,97.84%,96.62%,32802,3715206
Charlotte,57.49365684173048,26.72036140327641,53.52%,82.04%,81.03%,18098,3195880
Indianapolis,46.44407070283761,21.603206412456853,53.49%,84.30%,81.00%,16270,2491671
Seattle,98.58588971892615,27.238510803406438,72.37%,97.87%,97.05%,21173,2878711
Denver,81.47318684847221,33.48743710529751,58.90%,88.61%,87.07%,14986,2018774
Washington,80.1561868977399,30.02536438525222,62.54%,94.97%,92.31%,40332,5761295
Boston,75.84228912040854,30.896054254036976,59.26%,93.36%,89.48%,21748,2673591
El Paso,50.98318703280508,26.146172285996244,48.72%,93.71%,92.99%,9341,1360154
Detroit,53.89359984655197,34.63814472588843,35.73%,78.90%,71.07%,9693,1782972
Nashville,72.6292827031118,33.08984468579212,54.44%,84.95%,81.40%,19350,2939632
Portland,78.57060650870896,31.525953536263792,59.88%,94.45%,91.74%,15913,2797097
Memphis,48.21884252566873,27.309116458792033,43.36%,79.81%,75.63%,10792,1917350
Oklahoma City,46.23363427187935,24.221203384901262,47.61%,75.72%,71.96%,8868,1373319
Las Vegas,81.78877570335487,50.150965243053484,38.68%,78.66%,76.03%,16304,2261841
Louisville,46.08718054765576,20.875333160289188,54.70%,81.01%,77.01%,7074,1031563
Baltimore,45.1496504120661,18.981150045722373,57.96%,84.69%,85.54%,12498,2470565
Milwaukee,52.86946242464909,25.0437917230765,52.63%,87.62%,83.41%,7772,1204153
Albuquerque,51.286946908015615,21.39631176561086,58.28%,89.68%,84.19%,6460,882115
Tucson,53.79960407655873,25.865853187214054,51.92%,84.18%,82.71%,7536,1007901
Fresno,37.49569393634244,16.688059974215516,55.49%,81.29%,77.88%,7646,1140032
Mesa,48.95845913557899,28.448069916408638,41.89%,82.07%,79.77%,5143,718607
Sacramento,61.470364158499386,31.690173927272724,48.45%,82.88%,81.02%,8884,1294618
Atlanta,88.06635604828583,46.114124430363056,47.64%,74.79%,70.76%,31084,5161581
Kansas City,61.95688796058221,27.143112356019437,56.19%,87.90%,86.46%,9534,1313711
Colorado Springs,64.54700477540224,31.49595048169552,51.20%,89.68%,90.41%,4777,645678
Miami,113.75567104069249,64.59772815505737,43.21%,85.26%,81.91%,21299,1786571
Raleigh,51.870506387265884,21.97201961069122,57.64%,83.74%,76.52%,10559,1433271
Omaha,49.68096649445436,22.56082626578888,54.59%,93.41%,86.41%,8380,959522
Long Beach,55.39735519643649,26.74823901050256,51.72%,81.83%,77.14%,9905,1581319
Virginia Beach,49.281947895832225,29.567316941399206,40.00%,88.30%,82.12%,6418,995115
Oakland,87.26230865908288,25.470079425897946,70.81%,93.57%,93.21%,9635,1646440
Minneapolis,69.89366732562854,25.8313343201085,63.04%,92.13%,92.08%,11168,1526298
Tulsa,49.09345045265641,26.327555327211105,46.37%,84.50%,73.86%,4831,660363
Arlington,55.87490751911511,23.71495420146122,57.56%,88.28%,84.76%,13545,1937195
Tampa,71.00707933577068,30.13200602484143,57.56%,85.28%,81.55%,9898,1307221
New Orleans,55.64175859943101,27.251869937264747,51.02%,83.73%,80.13%,16714,3433047
Wichita,39.1567425129977,19.67990920965017,49.74%,82.22%,71.53%,5361,608011
Cleveland,53.31240922847948,28.29306581413183,46.93%,76.06%,73.28%,9251,1678005
Bakersfield,38.98517754996605,21.344037710849726,45.25%,73.15%,85.24%,5336,775223
Aurora,42.49378383747486,19.219514768436817,54.77%,90.75%,88.07%,689,52499
Anaheim,66.05214719395157,31.294579355918497,52.62%,79.55%,71.47%,8464,844871
