location,mobility_before_distancing,mobility_after_distancing,general_reduction,median_reduction,median_seasonal_reduction,num_users,num_records
New York City,85.73692475236395,39.409619847574156,54.03%,89.24%,86.64%,168115,24424241
Los Angeles,102.91651232510893,53.743743926927735,47.78%,85.34%,83.22%,128546,20135991
Chicago,63.83179967146857,28.165609666295374,55.88%,88.25%,85.17%,62897,9907194
Houston,53.90941022613811,33.28115697089757,38.26%,73.80%,74.51%,74364,14091139
Phoenix,60.506581289656935,27.13843326160153,55.15%,80.71%,82.08%,23298,3645302
Philadelphia,55.162585896819294,31.2427919338299,43.36%,80.74%,82.00%,34202,6642414
San Antonio,45.359559832578434,25.986819096886144,42.71%,79.43%,79.33%,34138,5391583
San Diego,79.25272612013987,38.29575307264154,51.68%,88.69%,88.94%,31467,4032690
Dallas,64.1644691137167,34.1654502996307,46.75%,77.12%,74.32%,30027,5506827
San Jose,60.39010599664682,23.875596382238644,60.46%,89.58%,89.93%,14031,1953298
Austin,72.62023372077816,34.69572818683247,52.22%,84.30%,84.28%,30102,4326340
Jacksonville,47.96246246735506,35.301830115702245,26.40%,52.91%,60.14%,674,75497
Fort Worth,51.18224221118425,30.69462176863385,40.03%,70.82%,72.95%,14656,2177616
Columbus,44.57316370269982,23.76649131606771,46.68%,78.14%,79.02%,20623,3536055
San Francisco,113.33763208657021,41.64369470920508,63.26%,95.89%,95.17%,33165,3899436
Charlotte,57.83021687211886,30.19899293661266,47.78%,76.00%,76.52%,18493,3383919
Indianapolis,46.39450360307397,23.11143199517875,50.18%,79.72%,80.59%,16591,2607634
Seattle,98.79862152939356,30.05475482878018,69.58%,96.21%,95.25%,21455,3025971
Denver,81.73808400701796,36.02184082904868,55.93%,84.97%,83.41%,15251,2106683
Washington,80.14293123126579,33.68043752579761,57.97%,90.83%,90.08%,40851,6036045
Boston,75.63042867838273,31.589022514090885,58.23%,89.16%,86.10%,22026,2784352
El Paso,50.97154787600791,28.8381167528892,43.42%,87.56%,90.51%,9508,1428555
Detroit,53.92772802407181,39.8765058875794,26.06%,73.28%,66.69%,9881,1872868
Nashville,72.80975367118947,35.38644843773821,51.40%,80.62%,79.93%,19670,3090747
Portland,78.731841650444,34.545360434074695,56.12%,91.46%,88.86%,16294,2943904
Memphis,48.36175819911222,29.42820241678925,39.15%,74.05%,72.32%,11039,2037070
Oklahoma City,46.28814815561815,25.766047805434827,44.34%,72.16%,72.51%,9038,1444900
Las Vegas,82.78036939130187,52.2190111435995,36.92%,74.92%,75.41%,16714,2410795
Louisville,46.07120422636721,22.07078550245101,52.09%,78.28%,77.56%,7171,1079101
Baltimore,45.1003880208041,21.460655386447,52.42%,79.46%,80.87%,12809,2605759
Milwaukee,52.89398273407824,27.269057899716593,48.45%,82.50%,81.40%,7938,1281480
Albuquerque,51.28672578828393,22.847063973778802,55.45%,87.77%,90.06%,6569,928106
Tucson,53.848979693504724,27.09577359985612,49.68%,81.03%,78.93%,7688,1054883
Fresno,37.45983332717081,18.34127747774972,51.04%,75.46%,76.09%,7806,1192675
Mesa,48.57415017122477,28.841301373181075,40.62%,77.71%,75.92%,5261,762990
Sacramento,61.50716779188737,34.57064033966868,43.79%,80.25%,82.43%,9060,1364522
Atlanta,88.16209028998131,50.42630540544507,42.80%,68.09%,65.10%,31810,5431796
Kansas City,61.83989693184206,30.035734442942253,51.43%,79.94%,81.41%,9667,1389662
Colorado Springs,64.51555961185224,33.148475328912,48.62%,86.72%,89.95%,4906,682081
Miami,113.77553723994974,70.13774796698584,38.35%,80.19%,78.52%,21672,1892246
Raleigh,51.70343999266344,24.135080554038773,53.32%,77.47%,72.31%,10784,1509751
Omaha,49.89567605818037,25.064577637426748,49.77%,87.36%,83.04%,8514,1009368
Long Beach,55.21664854133111,29.288765516889725,46.96%,76.90%,74.08%,10116,1669368
Virginia Beach,49.610360956283465,30.967137823855463,37.58%,82.72%,80.75%,6544,1044666
Oakland,87.31288539047905,28.54276876394313,67.31%,90.33%,91.20%,9825,1739115
Minneapolis,69.58235358198925,28.93723524957373,58.41%,87.22%,87.82%,11335,1618683
Tulsa,49.456753512553504,27.6320768610799,44.13%,74.04%,76.13%,4937,703178
Arlington,55.93382013127085,27.115321832264765,51.52%,83.28%,82.10%,13787,2050023
Tampa,70.6580659649806,33.571011505087085,52.49%,81.65%,79.70%,10041,1372093
New Orleans,55.55893844466876,30.20319493745595,45.64%,77.42%,78.07%,17046,3629353
Wichita,39.08750428854836,20.92962999844955,46.45%,75.91%,73.56%,5467,640118
Cleveland,53.59790204048353,31.33907724387409,41.53%,71.15%,70.44%,9422,1776944
Bakersfield,39.037390228547395,22.79981846249972,41.59%,67.58%,72.13%,5474,814192
Aurora,42.24306897449078,19.01180967402837,54.99%,89.54%,84.65%,694,55117
Anaheim,65.29735522027877,34.54829952600867,47.09%,73.24%,70.14%,8537,876800
Honolulu,140.57993229517746,68.28955606143333,51.42%,91.12%,87.18%,11609,980840
Santa Ana,47.1044331941724,22.974270298004697,51.23%,71.32%,70.96%,2876,368236
Riverside,45.193160315354966,27.0518831971938,40.14%,69.49%,74.79%,5897,758293
Corpus Christi,48.801491220950844,34.18536931252742,29.95%,66.47%,74.46%,5104,659769
Lexington,41.951756857305284,20.1141175953876,52.05%,74.82%,68.03%,1196,141584
Stockton,41.51994763460908,26.609508193672003,35.91%,62.95%,66.93%,3418,537666
Henderson,72.11075118691555,34.748570716485574,51.81%,77.90%,78.56%,5159,941014
St Paul,54.668627254625356,20.932315627107553,61.71%,90.67%,85.54%,4301,618863
St Louis,55.05652449453432,24.024792022502776,56.36%,89.24%,87.58%,7073,1078110
Cincinnati,55.395848560960275,23.424379379738788,57.71%,78.59%,75.52%,6836,905470
Pittsburgh,54.08361913137335,28.602645020866017,47.11%,86.22%,84.72%,8953,1410569
Greensboro,36.57391116973433,23.29732325465836,36.30%,67.95%,67.25%,6918,1582004
Anchorage,112.41097222573494,43.843469538061335,61.00%,96.88%,89.57%,3413,558962
Plano,71.13260667738452,41.75411989739648,41.30%,82.92%,81.44%,4222,681818
Lincoln,53.87248130264924,30.98894027098282,42.48%,73.36%,76.56%,5704,538510
Orlando,91.27961127898126,49.73811700885464,45.51%,72.52%,72.49%,13354,1660338
Irvine,77.18782116229093,32.6077590609351,57.76%,87.23%,85.60%,4456,569989
Newark,53.68216174572914,24.000731744660825,55.29%,75.90%,73.50%,6047,981516
Toledo,39.346373513414136,25.45294514230772,35.31%,80.72%,77.93%,3733,584236
Durham,49.04534636923129,23.72974657649588,51.62%,77.50%,74.45%,5666,1134831
Chula Vista,55.901928513976486,30.516283052239718,45.41%,84.92%,84.21%,2896,378000
Fort Wayne,42.769814835288905,25.996285005715805,39.22%,75.37%,78.04%,3312,389007
Jersey City,58.568294980161475,24.909452474077142,57.47%,88.17%,85.16%,4515,689788
St Petersburg,65.00450737150453,27.18460602914903,58.18%,84.78%,83.88%,3945,711769
Laredo,38.229710904458216,25.490206835709596,33.32%,76.62%,74.87%,2194,267999
Madison,44.16765231113515,19.707955002520983,55.38%,72.46%,78.59%,922,81300
Chandler,58.511321856030854,29.13261398874358,50.21%,82.68%,79.59%,3411,438295
Buffalo,43.5756115696456,27.710181397720703,36.41%,76.32%,78.32%,5081,870344
Lubbock,52.92158740077754,38.40766541466471,27.43%,57.96%,66.80%,5952,679493
Scottsdale,88.25519065508232,40.8334540148712,53.73%,83.55%,82.12%,4652,539710
Reno,57.764501033823386,28.296092875125108,51.01%,85.60%,80.11%,4784,625879
Glendale,54.84936081252554,16.075494169964514,70.69%,88.69%,85.05%,251,36456
Gilbert,63.434629670694285,34.268824643867354,45.98%,83.07%,78.58%,3840,404172
Winston-Salem,37.94697332487,24.90219567811173,34.38%,68.23%,71.11%,3605,567172
North Las Vegas,46.84423329476568,30.70285004964382,34.46%,72.95%,77.43%,2864,458045
